Model,CV Acc,CV Std,CV F1-macro,Test Acc,Test F1-macro,Test F1-weighted,Test Prec-macro,Test Rec-macro,Test Kappa,Test MCC
Bagging,0.9421666666666665,0.046290447778732445,0.8930647552916741,0.9615384615384616,0.949015503875969,0.9608970632081097,0.9688461538461539,0.9370459401709402,0.9328707439083428,0.9336770711902438
Random Forest,0.9671666666666667,0.030614539029683262,0.9100588837685611,0.9615384615384616,0.9283194444444444,0.9613194444444445,0.931875,0.9370459401709402,0.9335144638005434,0.9342614667007203
Decision Tree,0.9545,0.04322454292541578,0.914530524135363,0.9519230769230769,0.9338409007013657,0.9509855857966323,0.9517948717948718,0.9238591269841271,0.9161290322580645,0.9169158565758768
AdaBoost,0.8848333333333335,0.06651837674240436,0.7289646045463621,0.9519230769230769,0.9388461538461538,0.9508567554240632,0.965909090909091,0.9216613247863249,0.9153921249593231,0.9167604238469625
CatBoost,0.9668333333333333,0.036289346462380224,0.9276564260112649,0.9519230769230769,0.9117932816537466,0.9501331743192208,0.9288461538461539,0.9148237179487181,0.9161560786842954,0.9173883331806502
XGBoost,0.9588333333333333,0.036908671067921166,0.9089897593445981,0.9423076923076923,0.897105109610736,0.9406635713415533,0.918552036199095,0.8994391025641025,0.89937106918239,0.9011708889579271
Voting Ensemble,0.9508333333333333,0.030534588766038935,0.8919199948796723,0.9326923076923077,0.8765868945868945,0.9319055445978524,0.8879176379176379,0.8664110195360195,0.881760597693682,0.8823164471364217
Logistic Regression,0.8643333333333334,0.05950816937381139,0.7809688109443393,0.9134615384615384,0.8668867817252288,0.9140254600137847,0.8628693528693528,0.8713217338217337,0.8516169942929613,0.8517777284413344
Stacked Ensemble,0.8973333333333333,0.045669099691877726,0.7917388345367472,0.8942307692307693,0.8343294132767817,0.886611869911465,0.8935562987736901,0.8232982295482296,0.8091106290672452,0.8136042552194778
SVM,0.8844999999999998,0.06970194481584507,0.8167748749211485,0.8557692307692307,0.7729767655854612,0.8469160871334783,0.8418309859154929,0.742700702075702,0.7351443123938879,0.7429339373602564
Naive Bayes,0.8201666666666666,0.07897063448593479,0.7765618710791125,0.8173076923076923,0.7755497835497835,0.8295471195471197,0.7179621848739496,0.8901709401709402,0.7227444927739581,0.7438796818434721
KNN,0.8273333333333334,0.07858187520739825,0.7361679874939051,0.8076923076923077,0.7628937728937728,0.8149971823048747,0.7457142857142857,0.8023656898656899,0.688622754491018,0.6962044843591987
